,Title,Author,Format-Year
0,"Spanish Romance Stories for Language Learning
Spanish Romance Stories for Language Learning, eAudiobook","Rowett, Mary","eAudiobook, 2026"
1,"Learning Spanish-beginner I
Learning Spanish-beginner I, eBook","Iris Acevedo A.;Spanishonline, Costarica","eBook, 2025 — Spanish"
2,"Real-World Spanish: The Conversation Learning System
Real-World Spanish: The Conversation Learning System, eAudiobook",Camila Vega Rivera,"eAudiobook, 2025"
3,"100 Facts About Learning Spanish
100 Facts About Learning Spanish, eAudiobook",Science-Based Language Learning Lab,"eAudiobook, 2024"
4,"A Beginner's Guide to Learning Spanish
A Beginner's Guide to Learning Spanish, eAudiobook","Miller, Jackson","eAudiobook, 2024"
